,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,NE5020,Thực tập tốt nghiệp,4(0-0-8-16),4,10,0.5
,NE5120,Đồ án tốt nghiệp,10(0-0-20-40),10,25,0.5
,MI1042,Math IV,3(2-2-0-6),3,4,0.5
,MI2022,Probability Theory,2(2-0-0-4),2,2,0.5
,ME3206,Động học,3(2-1-1-6),3,4.5,0.7
,ET3016,Tín hiệu và hệ thống,3(3-1-0-6),3,4,0.7
,ET4216,Thiết kế Kỹ thuật y sinh III,1(0-0-2-2),1,3,0.7
,ET4456,Giải phẫu và sinh lý,5(3-1-1-10),5,5.5,0.7
,ET3096,Mạch điện tử I,3(3-1-0-6),3,4,0.7
,ET3066,Kỹ thuật số,4(3-1-1-8),4,5.5,0.7
,MSE4126,Thí nghiệm kim loại,3(0-0-3-6),3,9,0.7
,MSE4176,Quá trình đông đặc,3(3-0-0-6),3,3,0.7
,MSE4406,Thiết kế vật liệu,1(0-2-0-4),1,2,0.7
,MSE4416,Thiết kế quá trình công nghệ,3(3-0-0-6),3,3,0.7
,MSE4446,Nghiên cứu khoa học,3(0-3-0-6),3,3,0.7
,MSE5010,Thực tập tốt nghiệp,4(0-0-8-12),4,10,0.5
,MSE5110,Đồ án tốt nghiệp,10(0-5-5-30),10,25,0.5
,PH4256,Thí nghiệm vật liệu điện tử,3(0-0-3-6),3,9,0.7
,PH4296,Công nghệ chế tạo nano,3(2-1-1-6),3,4.5,0.7
,PH4316,Mô phỏng mức nguyên tử,3(2-1-1-6),3,4.5,0.7
