,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,EE3726,Mạch tuyến tính 2,4(4-1-0-8),4,5,0.7
,ME3026,Động học,3(2-1-0-6),3,3,0.7
,MI3140,Toán kinh tế,3(3-1-0-6),3,4,0.8
,IT2110,Nhập môn CNTT và TT,2(2-0-0-4),2,2,0.7
,IT2120,Kiến thức máy tính,2(0-4-0-4),2,4,0.6
,CH4051,Công nghệ khai thác chế biến dầu và than đá,3(3-0-0-6),3,3,0.7
,CH3451,Công nghệ hóa học,3(3-1-0-6),3,4,0.7
,IT3041,Ngôn ngữ lập trình C, ,2,2,0.7
,JP3012,Tiếng Nhật tăng cường, ,5,0,0.7
,IT3124,Đồ án tin học: xây dựng phần mềm,2(1-2-0-4),2,4,0.5
,IT3904,Thực tập cơ sở,3(0-0-6-12),3,6,0.5
,EE4670,Thực tập cơ sở,3(0-0-6-12),3,6,1
,EE3016,Lý thuyết điều khiển,4(3-1-1-6),4,5.5,0.7
,NE3010,Cơ sở vật lý hạt nhân,3(3-0.5-0-6),3,3.5,0.7
,NE3030,Kỹ thuật xung và số,2(2-0-0-4),2,2,0.7
,PH3125,Vật lý thống kê,2(2-0-0-4),2,2,0.7
,IT4037,Hệ quản trị cơ sở dữ liệu,2(2-1-0-4),2,3,0.7
,IT3015,Cấu trúc dữ liệu và giải thuật (tiếng P),3(3-1-0-6),3,4,0.7
,IT3115,Linux và phần mềm nguồn mở,2(2-1-0-4),2,3,0.7
,IT3085,Mạng máy tính,3(3-1-0-6),3,4,0.7
