,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,BF4030,CN dầu béo- chất thơm,2(2-0-1-4),2,3.5,0.7
,BF4040,CN Đường,2(2-0-1-4),2,3.5,0.7
,BF4050,CN bánh kẹo,2(2-0-1-4),2,3.5,0.7
,BF4060,CN chè Cà phê,2(2-0-1-4),2,3.5,0.7
,BF4070,CN thuốc lá,2(2-0-1-4),2,3.5,0.7
,BF4080,Kỹ thuật lạnh thực phẩm,2(2-1-0.5-4),2,4,0.8
,BF4090,Công nghệ các sản phẩm sữa,2(2-0-1-4),2,3.5,0.7
,BF4100,Thông gió hút bụi và điều hòa không khí,2(2-0-0-4),2,2,0.8
,BF4110,Kỹ thuật bảo quản và chế biến hải sản,2(2-0-1-4),2,3.5,0.8
,BF4120,Công nghệ bảo quản và chế biến rau quả,2(2-0-1-4),2,3.5,0.7
,BF4130,Công nghệ chế biến lương thực,2(2-0-1-4),2,3.5,0.7
,BF4140,Công nghệ bảo quản lương thực,2(2-0-1-4),2,3.5,0.7
,BF4160,CN Enzym,3(2-1-1-6),3,4.5,0.8
,BF4170,CN rượu vang,3(2-1-1-6),3,4.5,0.7
,BF4180,CN Cồn etylic,3(2-1-1-6),3,4.5,0.7
,BF4200,Công nghệ nấm men,2(2-1-0-4),2,3,0.8
,BF4210,CN Malt và Bia,3(2-1-1-6),3,4.5,0.8
,BF4240,Tin học ứng dụng trong CNTP,2(2-1-0-4),2,3,0.8
,BF4250,Luật thực phẩm,2(2-1-0-4),2,3,0.7
,BF4260,Ứng dụng vi sinh vật trong CN thực phẩm,2(2-1-0-4),2,3,0.7
