,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,CH3041,Hóa lý I,3(3-1-0-6),3,4,0.7
,CH3060,Hóa lý II,3(3-1-0-6),3,4,0.7
,CH3062,TN Hóa lý II,1(0-0-2-2),1,3,0.5
,CH3124,Hóa vô cơ,4(4-0-0-8),4,4,0.7
,CH3131,TN Hóa vô cơ,2(0-0-4-4),2,6,0.7
,CH3220,Hóa hữu cơ,4(4-1-0-8),4,5,0.7
,CH3228,Hóa hữu cơ I,3(3-0-0-6),3,3,0.7
,CH3229,Hóa hữu cơ II,2(2-0-0-4),2,2,0.7
,CH3230,TN Hóa hữu cơ,1(0-0-2-2),1,3,0.7
,CH3231,TN Hóa hữu cơ I,1(0-0-2-2),1,3,0.7
,CH3232,TN Hóa hữu cơ II,1(0-0-2-2),1,3,0.7
,CH3322,Các phương pháp phân tích bằng công cụ,2(2-1-0-4),2,3,0.7
,CH3331,Cơ sở hóa phân tích,3(3-1-0-6),3,4,0.7
,CH3340,TN Hóa phân tích,2(0-0-4-4),2,6,0.7
,CH3341,TN Phân tích bằng công cụ,1(0-0-2-2),1,3,0.7
,CH3403,Quá trình và thiết bị CNHH,4(4-1-0-8),4,5,0.7
,CH3412,Quá trình và thiết bị CNHH II,2(2-1-0-4),2,3,0.7
,CH3431,Quá trình và thiết bị truyền nhiệt-chuyển khối,4(3-1-1-8),4,5.5,0.7
,CH3441,Đồ án quá trình và thiết bị,1(0-0-2-2),1,2,0.7
,CH3454,Phương pháp số trong CNHH,2(2-0-1-4),2,3.5,0.7
