,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,EE4207,Thiết kế thiết bị điều khiển,3(3-1-0-6),3,4,0.75
,EE4209,Tự động hoá & điều khiển thiết bị điện,3(3-1-0.3-6),3,4.5,0.75
,EE4210,Đồ án thiết bị điều khiển,1(1-1-0-4),1,2,1
,EE4211,Thiết kế máy điện,3(3-1-0-6),3,4,0.75
,EE4212,Đồ án thiết kế máy điện,1(1-1-0-4),1,2,1
,EE4213,Kỹ thuật điện nhiệt,2(2-1-0-4),2,3,0.75
,EE4214,Kỹ thuật điện lạnh,2(2-1-0.3-4),2,3.5,0.75
,EE4215,Thiết kế tự động thiết bị điện,2(2-1-0-4),2,3,1
,EE4216,Phần tử tự động trong thiết bị điện,2(2-1-0.4-4),2,3.5,0.75
,EE4217,Công nghệ chế tạo thiết bị điện,2(2-1-0-4),2,3,0.75
,EE4218,Tiếng Anh chuyên ngành,2(2-0-0-4),2,2,0.75
,EE4219,Chuyên đề máy điện,2(2-0-0-4),2,2,0.75
,EE4221,Chuyên đề thiết bị điện,2(2-1-0-4),2,3,1
,EE4301,Đồ án điện tử công suất,1(1-1-0-4),1,2,1
,EE4304,Điều khiển logic,3(3-1-0.5-6),3,5,0.75
,EE4305,Đồ án điều khiển logic,1(1-1-0-4),1,2,1
,EE4306,Tổng hợp hệ điều khiển điện cơ,3(3-1-0.3-6),3,4.5,0.75
,EE4307,Đồ án tổng hợp hệ điều khiển điện cơ,1(1-1-0-4),1,2,1
,EE4308,Điều khiển sản xuất tích hợp máy tính,2(2-1-0.3-4),2,3.5,0.75
,EE4309,PLC trong công nghiệp,2(2-1-0.5-4),2,4,0.75
