,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,CH4082,Thực tập kỹ thuật,2(0-0-4-8),2,4,0.75
,CH4120,Điện hoá lý thuyết,4(4-1-1-8),4,6.5,0.7
,CH4121,Vật liệu học trong điện hoá,2(2-0-0.5-4),2,3,0.7
,CH4122,Công nghệ mạ,3(3-1-0.5-6),3,5,0.7
,CH4124,Điện hoá bề mặt,2(2-1-0.5-4),2,4,0.75
,CH4125,Điện hoá và xử lý môi trường,2(2-0-0.5-4),2,3,0.7
,CH4127,Kỹ thuật đo điện hoá,2(2-1-0.5-4),2,4,0.7
,CH4128,Ăn mòn và bảo vệ kim loại,3(3-0-1-6),3,4.5,0.6
,CH4130,Điện phân thoát kim loại,3(3-1-0.5-6),3,5,0.75
,CH4132,Điện phân không thoát kim loại,2(2-1-0.5-4),2,4,0.75
,CH4134,Tổng hợp điện hoá hữu cơ,2(2-0.5-0.5-4),2,3.5,0.75
,CH4136,Thí nghiệm chuyên ngành,3(1-0-5-6),3,9,0.75
,CH4138,Nguồn điện hoá học,3(3-1-0.5-6),3,5,0.7
,CH4140,Đồ án chuyên ngành,2(0-3-0-6),2,4,0.7
,CH4142,Thực tập nhận thức,3(0-0-6-12),3,6,0.5
,CH4144,Thực tập kỹ thuật,2(0-0-4-8),2,4,0.5
,CH4180,Anh văn KHKT 1,2(2-1-0-4),2,3,0.8
,CH4181,AutoCAD cho thiết kế XD nhà máy silicat,2(2-1-0-4),2,3,0.75
,CH4182,Thực tập nhận thức,3(0-0-6-12),3,6,0.75
,CH4183,Anh văn KHKT 2,3(3-1-0-6),3,4,0.8
