MaHP,TenHP,ThoiLuong,TinChiHocTap,TinChiHocPhi,HeSo,MaNhomHP
EE3279,Khí cụ điện,2(2-1-0.3-4),2,3.5,0.75,NULL
EE3280,Lý thuyết điều khiển I,3(3-1-0-6),3,4,0.5,NULL
EE3280E,Lý thuyết điều khiển tự động I,3(3-1-0-6),3,4,0.5,NULL
EE3280Q,Lý thuyết điều khiển tự động I,3(3-1-0-6),3,4,0.5,NULL
EE3281,Lý thuyết điều khiển tự động I,2(2-1-0.5-4),2,4,0.75,NULL
EE3282,Lý thuyết điều khiển tự động I,3(3-1-0.75-6),3,5,0.7,NULL
EE3283,Lý thuyết điều khiển tuyến tính,4(3-1-0.5-8),4,5,0.7,NULL
EE3286,Lý thuyết điều khiển,4(3-1-1-6),4,5.5,0.5,NULL
EE3288,Lý thuyết điều khiển tuyến tính,3(3-1-0-6),3,4,0.5,NULL
EE3288E,Lý thuyết điều khiển tuyến tính,3(3-1-0-6),3,4,0.5,NULL
EE3289,Cơ sở điều khiển tự động,4(3-1-1-8),4,5.5,0.5,NULL
EE3291,Lý thuyết điều khiển tự động II,2(2-1-0.5-4),2,4,0.75,NULL
EE3292,Lý thuyết điều khiển tự động II,3(3-1-0.75-6),3,5,0.7,NULL
EE3293,Lý thuyết điều khiển phi tuyến,4(3-1-0.5-8),4,5,0.7,NULL
EE3326,Phân tích các hệ tuyến tính,4(3-2-0.5-6),4,6,0.75,NULL
EE3336,Điều khiển bằng phản hồi trạng thái,4(3-2-0.5-6),4,6,0.75,NULL
EE3339,Điều khiển và tự động hóa QTSX,3(3-1-0-6),3,4,0.7,NULL
EE3349,Cơ sở điều khiển tự động,2(2-1-0.4-4),2,3.5,0.75,NULL
EE3359,Lý thuyết điều khiển tự động,3(3-1-0-6),3,4,0.5,NULL
EE3359E,Lý thuyết điều khiển tự động,3(3-1-0-6),3,4,0.5,NULL
EE3359Q,Lý thuyết điều khiển tự động,3(3-1-0-6),3,4,0.5,NULL
EE3369,Cơ sở tự động hoá,2(2-1-0.5-4),2,4,0.75,NULL
EE3379,Tự động hoá dụng cụ đo chất lượng môi trường,2(2-1-0-6),2,3,1,NULL
EE3389,Tự động hoá quá trình công nghệ,3(3-1-0.5-6),3,5,0.75,NULL
EE3391,Vật liệu điện cao áp,4(4-1-0.4-8),4,5.5,0.75,NULL
EE3392,Vật liệu điện,2(2-1-0.4-4),2,3.5,0.75,NULL
EE3409,Lý thuyết điều khiển tự động,3(2-1-1-6),3,4.5,0.7,NULL
EE3410,Điện tử công suất,3(3-0-1-6),3,4.5,0.75,NULL
EE3410E,Điện tử công suất,3(3-0-1-6),3,4.5,0.7,NULL
EE3411,Hệ thống biến đổi điện cơ,4(3-0-2-6),4,6,0.7,NULL
EE3412,Điện tử công suất,3(3-0-1-6),3,4.5,0.7,NULL
EE3413,Điện tử công suất,4(3-1-0.5-8),4,5,0.7,NULL
EE3420,Hệ thống cung cấp điện,4(3-1-1-8),4,5.5,0.7,NULL
EE3420E,Hệ thống cung cấp điện,4(3-1-1-6),4,5.5,0.7,NULL
EE3421,Cung cấp điện,3(3-1-0-6),3,4,0.7,NULL
EE3422,Hệ thống cung cấp điện,3(3-1-0.4-6),3,4.5,0.75,NULL
EE3423,Hệ thống cung cấp điện,4(3-0-2-6),4,6,0.7,NULL
EE3423E,Nhập môn hệ thống điện,3(3-1-0-6),3,4,0.7,NULL
EE3425,Hệ thống cung cấp điện,3(3-0-1-6),3,4.5,0.7,NULL
EE3426,Hệ thống cung cấp điện (BTL),3(3-1-0-6),3,4,0.7,NULL
EE3426E,Lưới điện phân phối,2(2-1-0-4),2,3,0.7,NULL
EE3427,Hệ thống điện tòa nhà,3(3-1-0-6),3,4,0.5,NULL
EE3428,Hệ thống BMS cho tòa nhà,3(3-0-0-6),3,3,0.5,NULL
EE3429,Hệ thống cung cấp điện,3(3-0-0-6),3,3,0.7,NULL
EE3432,Đồ án cung cấp điện,1(1-1-0-4),1,2,1,NULL
EE3468,Hệ thống cung cấp điện,3(3-1-0-6),3,4,0.6,NULL
EE3469,Hệ thống cung cấp điện,2(2-1-0-4),2,3,1,NULL
EE3479,Đồ án cung cấp điện,1(1-1-0-4),1,2,1,NULL
EE3480,Vi xử lý,3(3-0-1-6),3,4.5,0.7,NULL
EE3480E,Vi xử lý và kiến trúc máy tính,3(3-0-1-6),3,4.5,0.7,NULL
EE3481,Vi điều khiển và ứng dụng,3(2-1-1-6),3,4.5,0.7,NULL
EE3482,Vật liệu điện,3(3-0-1-6),3,4.5,0.7,NULL
EE3483,Kỹ thuật vi xử lý,4(3-1-0.5-8),4,5,0.7,NULL
EE3490,Kỹ thuật lập trình,3(3-1-0-6),3,4,0.7,NULL
EE3490E,Kỹ thuật lập trình,3(2-2-0-6),3,4,0.7,NULL
EE3491,Kỹ thuật lập trình,2(2-1-0-4),2,3,0.6,NULL
EE3499,Vi xử lí,2(2-1-0-4),2,3,0.75,NULL
EE3500,Hệ thống thông tin công nghiệp,2(2-1-0.4-4),2,3.5,0.75,NULL
EE3500E,Hệ thống điều khiển công nghiệp,2(2-0-1-4),2,3.5,0.7,NULL
EE3509,Kỹ thuật đo lường,3(3-0-1-6),3,4.5,0.7,NULL
EE3510,Truyền động điện,3(3-0-1-6),3,4.5,0.75,NULL
EE3510E,Truyền động điện,3(3-0-1-6),3,4.5,0.7,NULL
EE3511,Truyền động điện,3(3-0-1-6),3,4.5,0.7,NULL
EE3513,Truyền động điện,4(3-1-0.5-8),4,5,0.7,NULL
EE3519,Hệ thống thông tin công nghiệp,2(2-1-0-4),2,3,0.7,NULL
EE3526,Truyền động điện,2(2-1-0-4),2,3,0.75,NULL
EE3529,Hệ thống thông tin công nghiệp,3(3-0-1-6),3,4.5,0.7,NULL
EE3539,Truyền động điện,2(2-1-0-4),2,3,0.75,NULL
EE3549,Truyền động điện,2(2-0-0-4),2,2,0.75,NULL
EE3550,Điều khiển quá trình,3(3-0-1-6),3,4.5,0.6,NULL
EE3550E,Điều khiển quá trình,3(3-1-0-6),3,4,0.6,NULL
EE3551,Hệ thống điều khiển quá trình,4(3-0-2-6),4,6,0.7,NULL
EE3552,Điều khiển quá trình,2(2-1-0.5-4),2,4,0.7,NULL
EE3553,Điều khiển quá trình,3(2-1-0.5-6),3,4,0.7,NULL
EE3559,Điều khiển quá trình,3(3-0-1-6),3,4.5,0.7,NULL
EE3569,Trang bị điện máy sản xuất,2(2-1-0-4),2,3,0.75,NULL
EE3570,Thực tập nhận thức,1(0-0-2-2),1,2,1,NULL
EE3573,Đồ án nhận thức thực tế,1(0-0-3-2),1,2,1,NULL
EE3580,Thực tập xưởng điện,2(0-0-4-4),2,4,1,NULL
EE3586,Mạch và năng lượng điện,4(3-2-0.5-6),4,6,1,NULL
EE3596,Điện tử tương tự và ứng dụng,4(3-0-1-6),4,4.5,0.7,NULL
EE3600,Hệ thống đo và điều khiển công nghiệp,3(3-0-1-6),3,4.5,0.7,NULL
EE3601,Hệ thống đo và truyền thông công nghiệp,2(2-0-0-4),2,2,0.7,NULL
EE3601E,Hệ thống đo và điều khiển công nghiệp,3(3-0-1-6),3,4.5,0.7,NULL
EE3606,Tương tự học và các mô hình,4(3-2-0.5-6),4,6,1,NULL
EE3616,Biến đổi tín hiệu số và ứng dụng,4(3-2-0-8),4,5,0.7,NULL
EE3617,Mạch và năng lượng điện,3(2-1-1-4),3,4.5,0.7,NULL
EE3626,Cảm biến và thiết bị đo,2(2-0-0-4),2,2,0.7,NULL
EE3636,Thí nghiệm điện tử,4(3-2-0.5-6),4,12,1,NULL
EE3646,Cơ sở điện tử công suất,2(2-0-0-4),2,2,0.7,NULL
EE3649,Cơ sở điện tử công suất,3(3-0-1-6),3,4.5,0.7,NULL
EE3656,Điện tử số,3(2-1-1-4),3,4.5,0.7,NULL
EE3676,Thiết bị đo điện tử,3(3-1-0-6),3,4,0.7,NULL
EE3706,Mạch tuyến tính 1,3(3-1-0-6),3,4,0.7,NULL
EE3716,TN Mạch tuyến tính 1,1(0-0-1-0),1,3,0.7,NULL
EE3726,Mạch tuyến tính 2,4(4-1-0-8),4,5,0.7,NULL
EE3736,Điện tử 1,4(4-1-0-8),4,5,0.7,NULL
EE3746,Điện tử 2,4(4-1-0-8),4,5,0.7,NULL
EE3756,Thiết kế hệ thống số,4(4-1-0-8),4,5,0.7,NULL
EE3766,Mạch giao diện máy tính,4(4-1-0-8),4,5,0.7,NULL
EE3810,Đồ án I,2(0-4-0-8),2,4,0.5,NULL
EE3811,Đồ án I,2(0-0-4-8),2,4,1,NULL
EE3816,Đồ án I,2(0-0-4-4),2,4,0.5,NULL
EE3820,Đồ án II,2(0-4-0-8),2,4,0.5,NULL
EE3820E,Đồ án thiết kế,3(0-0-6-12),3,6,0.7,NULL
EE3821,Đồ án II,2(0-0-4-8),2,4,1,NULL
EE3830,Đồ án III,2(0-0-4-4),2,4,1,NULL
EE3910,Thực tập kỹ thuật,2(0-0-4-4),2,4,0.5,NULL
EE3910E,Thực tập kỹ thuật,2(0-0-4-4),2,4,0.7,NULL
EE4010,Lưới điện,3(3-1-0-8),3,4,0.7,NULL
EE4010E,Phân tích Hệ thống điện,3(3-1-1-6),3,5.5,0.7,NULL
EE4018,Tự động hoá HTĐ,3(3-1-0-6),3,4,0.7,NULL
EE4020,Ngắn mạch trong hệ thống điện,3(3-1-0-6),3,4,0.7,NULL
EE4020E,Ngắn mạch trong hệ thống điện,3(3-1-0-6),3,4,0.7,NULL
EE4021,Ngắn mạch trong lưới điện công nghiệp,2(2-1-0-4),2,3,0.7,NULL
EE4023,Kỹ thuật nối đất và chống sét cho lưới điện công nghiệp,3(3-1-0-6),3,4,0.7,NULL
EE4030,Phần điện nhà máy điện và trạm biến áp,4(4-0-0-8),4,4,0.7,NULL
EE4032,Nhà máy điện và trạm biến áp,3(3-1-0-6),3,4,0.7,NULL
EE4032E,Nhà máy điện và trạm biến áp,3(3-1-0-6),3,4,0.7,NULL
EE4040,Bảo vệ và điều khiển HTĐ I,3(3-1-0-6),3,4,0.7,NULL
EE4040E,Bảo vệ và điều khiển hệ thống điện,3(3-1-1-6),3,5.5,0.7,NULL
EE4041,"TN Hệ thống điện II (BV&ĐK, NMĐ&TBA)",1(0-0-2-2),1,3,1,NULL
EE4042,Rơle bảo vệ trong hệ thống điện,3(3-1-0-6),3,4,0.7,NULL
EE4050,Kỹ thuật điện cao áp I,3(3-1-0-6),3,4,0.7,NULL
EE4051,"TN Hệ thống điện I (CA I, Lưới điện)",1(0-0-2-2),1,3,1,NULL
EE4052,Kỹ thuật điện cao áp,3(3-1-0-6),3,4,0.7,NULL
EE4052E,Kỹ thuật điện cao áp,3(3-1-0-6),3,4,0.7,NULL
EE4060,Đồ án III (HTĐ),2(0-0-4-4),2,4,1,NULL
EE4061,Bảo vệ và điều khiển HTĐ II,3(3-1-0-6),3,4,0.7,NULL
EE4062,Rơle bảo vệ trong lưới điện công nghiệp,2(2-1-0-4),2,3,0.7,NULL
EE4064,Đồ án thiết kế,3(0-0-6-6),3,6,0.5,NULL
EE4070,Điều khiển thiết bị điện,3(3-0-1-6),3,4.5,0.7,NULL
EE4074,Đồ án thiết kế II,3(0-0-6-6),3,6,0.7,NULL
EE4080,Máy điện II,3(3-1-0-6),3,4,0.5,NULL
EE4081,Vật liệu kỹ thuật điện,2(2-0-1-4),2,3.5,0.7,NULL
EE4082,Kỹ thuật chiếu sáng,3(3-1-0-6),3,4,0.5,NULL
EE4083,Chiếu sáng công nghiệp và dân dụng,2(2-1-0-4),2,3,0.5,NULL
EE4090,Khí cụ điện cao áp,3(3-0-1-6),3,4.5,0.7,NULL
EE4101,Lưới điện I,3(3-1-0.4-6),3,4.5,0.75,NULL
EE4102,Lưới điện II,2(2-1-0-4),2,3,0.75,NULL
EE4103,Đồ án lưới điện,1(1-1-0-4),1,2,1,NULL
EE4104,Ngắn mạch trong hệ thống điện,3(3-2-0-6),3,5,0.7,NULL
EE4105,Cơ khí đường dây,2(2-0-0-4),2,2,0.75,NULL
EE4106,Phần điện nhà máy điện và trạm biến áp,4(4-1-0.4-8),4,5.5,0.75,NULL
EE4107,Phần tử tự động trong hệ thống điện,1(1-1-0-2),1,2,1,NULL
EE4108,Tối ưu hoá chế độ hệ thống điện,3(3-1-0-6),3,4,0.75,NULL
EE4109,Quá điện áp trong hệ thống điện,4(4-1-0.5-8),4,6,0.7,NULL
EE4110,Bảo vệ hệ thống điện,4(4-1-0.5-8),4,6,0.7,NULL
EE4111,Công nghệ phát điện,2(2-1-0-4),2,3,0.75,NULL
EE4112,Nhà máy thuỷ điện,2(2-0-0-4),2,2,0.75,NULL
EE4113,Đồ án nhà máy điện,1(1-1-0-4),1,2,1,NULL
EE4114,Quy hoạch phát triển hệ thống điện,3(3-1-0-6),3,4,0.75,NULL
EE4114E,Kỹ thuật điện cao áp và vật liệu điện,3(3-1-0-6),3,4,0.7,NULL
EE4115,Ổn định của hệ thống điện,2(2-1-0-4),2,3,0.75,NULL
EE4116,Tự động hoá trong hệ thống điện,3(3-2-0-6),3,5,0.75,NULL
EE4116E,Tự động hóa hệ thống điện,3(3-1-0-6),3,4,0.7,NULL
EE4117,Ứng dụng tin học trong năng lượng,3(3-2-0-6),3,5,0.7,NULL
EE4117E,Vận hành và quy hoạch hệ thống điện,3(3-1-0-6),3,4,0.7,NULL
EE4118,Chuyên đề hệ thống điện,1(1-1-0-2),1,2,1,NULL
EE4118E,Điều khiển và vận hành hệ thống điện,3(3-1-0-6),3,4,0.7,NULL
EE4119,Tiếng Anh chuyên ngành,2(2-0-0-4),2,2,1,NULL
EE4120,Chất lượng điện năng,2(2-0-0-4),2,2,0.75,NULL
EE4121,Đo lường cao áp và kiểm tra không phá huỷ,2(2-0-0-4),2,2,0.75,NULL
EE4122E,Phân tích Hệ thống điện,2(2-0-0-4),2,2,0.7,NULL
EE4123E,Bảo vệ hệ thống điện,4(3-1-1-8),4,5.5,0.7,NULL
EE4124E,Ổn định hệ thống điện,2(2-0-0-4),2,2,0.7,NULL
EE4128,Tối ưu hoá chế độ hệ thống điện,2(2-1-0-4),2,3,0.7,NULL
EE4160,Tối ưu hóa và ứng dụng trong điều khiển,2(2-1-0-4),2,3,0.5,NULL
EE4161,Điều khiển hệ cơ điện tử,2(2-1-0-4),2,3,0.5,NULL
EE4163,Điều khiển phi tuyến,3(3-1-0-6),3,4,0.5,NULL
EE4164,Hệ sự kiện rời rạc,2(2-1-0-4),2,3,0.7,NULL
EE4165,Hệ thống điều khiển năng lượng tái tạo,2(2-1-0-4),2,3,0.5,NULL
EE4201,Khí cụ điện hạ áp,3(3-1-0-6),3,4,0.75,NULL
EE4202,Khí cụ điện cao áp,3(3-1-0.3-6),3,4.5,0.75,NULL
EE4203,Đồ án khí cụ điện,1(1-1-0-4),1,2,1,NULL
EE4204,Máy điện trong thiết bị tự động và điều khiển,3(3-1-0-6),3,4,0.75,NULL
EE4205,Máy điện trong thiết bị tự động và điều khiển,2(2-1-0-4),2,3,0.5,NULL
EE4206,Hệ thống chiếu sáng,2(2-0-0-4),2,2,0.75,NULL
EE4207,Thiết kế thiết bị điều khiển,3(3-1-0-6),3,4,0.75,NULL
EE4208,Thiết bị lập trình điều khiển thiết bị điện,2(2-1-0.3-4),2,3.5,0.75,NULL
EE4209,Tự động hoá & điều khiển thiết bị điện,3(3-1-0.3-6),3,4.5,0.75,NULL
EE4210,Đồ án thiết bị điều khiển,1(1-1-0-4),1,2,1,NULL
EE4211,Thiết kế máy điện,3(3-1-0-6),3,4,0.75,NULL
EE4212,Đồ án thiết kế máy điện,1(1-1-0-4),1,2,1,NULL
EE4213,Kỹ thuật điện nhiệt,2(2-1-0-4),2,3,0.75,NULL
EE4214,Kỹ thuật điện lạnh,2(2-1-0.3-4),2,3.5,0.75,NULL
EE4215,Thiết kế tự động thiết bị điện,2(2-1-0-4),2,3,1,NULL
EE4216,Phần tử tự động trong thiết bị điện,2(2-1-0.4-4),2,3.5,0.75,NULL
EE4217,Công nghệ chế tạo thiết bị điện,2(2-1-0-4),2,3,0.75,NULL
EE4218,Tiếng Anh chuyên ngành,2(2-0-0-4),2,2,0.75,NULL
EE4219,Chuyên đề máy điện,2(2-0-0-4),2,2,0.75,NULL
EE4220,Điều khiển logic và PLC,3(3-0-1-6),3,4.5,0.7,NULL
EE4220E,Điều khiển logic và PLC,2(2-0-1-6),2,3.5,0.7,NULL
EE4220Q,Điều khiển logic và PLC,2(2-0-1-4),2,3.5,0.7,NULL
EE4221,Chuyên đề thiết bị điện,2(2-1-0-4),2,3,1,NULL
EE4223,Đồ án khí cụ điện,2(2-1-0-4),2,4,0.7,NULL
EE4224,Hệ thống truyền động thuỷ lực và khí nén,2(2-0-1-4),2,3.5,0.7,NULL
EE4225,Điều khiển PLC và mạng công nghiệp,3(2-0-2-6),3,5,1,NULL
EE4226,Điều khiển logic và PLC,3(3-1-0-6),3,4,0.7,NULL
EE4230,Lý thuyết điều khiển II,3(3-1-0-6),3,4,0.7,NULL
EE4230E,Lý thuyết điều khiển tự động 2,3(3-1-0-6),3,4,0.7,NULL
EE4231,Bảo dưỡng công nghiệp,2(2-1-0-4),2,3,0.5,NULL
EE4232,Tương thích điện từ (EMC),2(2-1-0-4),2,3,0.5,NULL
EE4240,Trang bị điện-điện tử các máy công nghiệp,3(3-1-0-6),3,4,0.7,NULL
EE4241,Hệ thống cung cấp điện cho các tòa nhà,2(2-1-0-4),2,3,0.7,NULL
EE4250,Xử lý tín hiệu,3(3-1-0-6),3,4.5,0.7,NULL
EE4251,Thiết kế hệ thống nhúng,3(3-1-0-6),3,4,0.5,NULL
EE4252,Thiết kế thiết bị đo,3(3-1-0-6),3,4,0.7,NULL
EE4253,Cơ sở dữ liệu,2(2-1-0-4),2,3,0.7,NULL
EE4256,Tự động hóa và điều khiển trong kỹ thuật môi trường,2(2-1-0-4),2,3,0.5,NULL
EE4259,Học sâu,2(2-1-0-4),2,3,0.5,NULL
EE4260,Thiết kế thiết bị đo,2(2-1-0-4),2,3,0.7,NULL
EE4261,Đồ án thiết kế máy điện,2(2-1-0-4),2,4,0.7,NULL
EE4262,Đồ án thiết bị điều khiển,2(2-1-0-4),2,4,0.7,NULL
EE4263,Đồ án khí cụ điện,2(2-1-0-4),2,4,0.7,NULL
EE4264,Thiết bị điện nhiệt,2(2-1-0-4),2,3,0.7,NULL
EE4265,Đo lường y sinh,2(2-1-0-4),2,3,0.7,NULL
EE4266,Mạng và các giao thức trong IoT,2(2-1-0-4),2,3,0.5,NULL
EE4267,Công nghệ chế tạo thiết bị điện,3(3-1-0-6),3,4,0.7,NULL
EE4268,FPGA và ứng dụng,2(2-1-0-4),2,3,0.7,NULL
EE4269,Hệ thống quản lý tòa nhà thông minh,2(2-1-0-4),2,3,0.7,NULL
EE4271,Công nghệ xử lý nước thải,2(2-1-0-4),2,3,0.5,NULL
EE4272,Công nghệ xử lý xử lý rác thải,2(2-1-0-4),2,3,0.7,NULL
EE4273,Thử nghiệm và thí nghiệm thiết bị điện,2(2-1-0-4),2,3,0.7,NULL
EE4274,Kỹ thuật điều khiển xe điện,2(2-1-0-4),2,3,0.7,NULL
EE4275,Đo và giám sát môi trường,2(2-0-0-4),2,2,0.7,NULL
EE4276,Tự động hóa nhà máy xi măng,2(2-0-0-4),2,2,0.75,NULL
EE4277,SCADA cho trạm biến áp,2(2-0-0-4),2,2,0.7,NULL
EE4278,Hệ thống đo lường điều khiển nhà máy điện,2(2-0-0-4),2,2,0.7,NULL
EE4281,Hệ thống giám sát khí thải nhà máy nhiệt điện,2(2-0-0-4),2,2,0.7,NULL
EE4300,Hệ thống thu thập dữ liệu và điều khiển bằng máy tính,3(3-1-0-6),3,4,0.7,NULL
EE4301,Đồ án điện tử công suất,1(1-1-0-4),1,2,1,NULL
EE4304,Điều khiển logic,3(3-1-0.5-6),3,5,0.75,NULL
EE4305,Đồ án điều khiển logic,1(1-1-0-4),1,2,1,NULL
EE4306,Tổng hợp hệ điều khiển điện cơ,3(3-1-0.3-6),3,4.5,0.75,NULL
EE4307,Đồ án tổng hợp hệ điều khiển điện cơ,1(1-1-0-4),1,2,1,NULL
EE4308,Điều khiển sản xuất tích hợp máy tính,2(2-1-0.3-4),2,3.5,0.75,NULL
EE4309,PLC trong công nghiệp,2(2-1-0.5-4),2,4,0.75,NULL
EE4310,Trang bị điện-điện tử các máy công nghiệp,3(3-0-0-6),3,3,0.75,NULL
EE4311,Trang bị điện-điện tử các máy gia công kim loại,3(3-1-0-6),3,4,0.75,NULL
EE4312,Robot,3(3-1-0-6),3,4,0.7,NULL
EE4313,Tự động hoá quá trình sản xuất,2(2-1-0-6),2,3,0.75,NULL
EE4314,Quy hoạch phát triển hệ thống điện,2(2-1-0-4),2,3,0.7,NULL
EE4315,Vi xử lý nâng cao,2(2-0-0-4),2,2,0.75,NULL
EE4316,Mô hình hoá và mô phỏng,2(2-1-0-4),2,3,0.75,NULL
EE4317,Thiết kế hệ thống tự động hoá,2(2-1-0-4),2,3,0.75,NULL
EE4318,Điều khiển ghép nối máy tính,2(1-1-0-2),2,2,1,NULL
EE4319,Điều khiển mờ và mạng nơron,2(2-0-0-4),2,2,0.75,NULL
EE4319E,Điều khiển mờ và mạng nơron,3(3-0-0-6),3,3,0.7,NULL
EE4320,Các phần mềm mô phỏng ứng dụng,2(2-0-0-4),2,2,0.75,NULL
EE4321,Tiếng Anh chuyên ngành,2(2-0-0-4),2,2,0.75,NULL
EE4322,Hệ điều khiển SCADA và DCS,2(2-0-0-4),2,2,0.75,NULL
EE4323,Hệ thống tự động hóa nhà máy nhiệt điện,2(2-1-0-4),2,3,0.75,NULL
EE4324,Tự động hoá nhà máy sản xuất thép,2(2-0-0-4),2,2,0.75,NULL
EE4325,Hệ thống tự động hóa nhà máy xi măng,2(2-1-0-4),2,3,0.75,NULL
EE4326,Điều khiển tối ưu và thích nghi,2(2-0-0-4),2,2,0.75,NULL
EE4327,Hệ thống cơ điện tử,2(2-0-0-4),2,2,0.75,NULL
EE4328,Điều khiển bền vững,2(2-1-0-4),2,3,0.75,NULL
EE4330,Hệ thống sản xuất Tự động hóa tích hợp máy tính,3(3-0-0-6),3,3,0.7,NULL
EE4331,Điều khiển Điện tử công suất,3(3-1-0-6),3,4,0.5,NULL
EE4332,Thiết kế truyền động điện,3(3-1-0-6),3,4,0.7,NULL
EE4334,Hệ thống sản xuất tích hợp máy tính (CIM),2(2-0-1-4),2,3.5,0.7,NULL
EE4336,Thiết kế hệ thống điều khiển điện tử công suất,2(2-1-0-4),2,3,0.5,NULL
EE4340,Đồ án chuyên ngành,2(0-0-4-4),2,4,0.7,NULL
EE4341,Kỹ thuật Robot,3(3-1-0-6),3,4,0.7,NULL
EE4342,Hệ thống điều khiển thông minh,3(3-1-0-6),3,4,0.7,NULL
EE4344,Kỹ thuật Robot,2(2-1-0-4),2,3,0.75,NULL
EE4346,Thị giác máy tính,2(2-1-0-4),2,3,0.7,NULL
EE4347,Điều khiển truyền động điện,3(3-1-0-6),3,4,0.7,NULL
EE4348,Kiến trúc và giao thức truyền thông trong IoT,3(2-2-0-6),3,4,0.7,NULL
EE4356,Dụng cụ và hệ thống tự động hóa đo trong xử lý môi trường,2(2-1-0-4),2,3,0.7,NULL
EE4360,PLC và Mạng CN,2(2-0-1-4),2,3.5,0.7,NULL
EE4361,PLC trong điều khiển chuyển động,2(2-1-0-4),2,3,0.7,NULL
EE4362,Hệ thống điều khiển máy CNC,2(2-1-0-4),2,3,0.7,NULL
EE4364,DCS & SCADA,2(2-1-0-4),2,3,0.7,NULL
EE4364E,DCS & SCADA,2(2-1-0-4),2,3,0.7,NULL
EE4379,Tự động hóa và dụng cụ đo trong xử lý môi trường,2(2-1-0-4),2,3,0.7,NULL
EE4400,Đồ án chuyên đề hệ thống điều khiển,2(0-0-4-4),2,4,0.7,NULL
EE4400E,Đồ án thiết kế,3(0-0-6-12),3,6,0.7,NULL
EE4401,Thiết kế hệ điều khiển nhúng,3(2-2-0-6),3,4,0.5,NULL
EE4401E,Thiết kế hệ điều khiển nhúng (BTL),3(2-2-0-6),3,4,0.5,NULL
EE4402,Thiết bị điều chỉnh tự động công nghiệp,3(2-1-1-6),3,4.5,0.75,NULL
EE4403,Lý thuyết điều khiển nâng cao I,3(3-1-0-6),3,4,0.75,NULL
EE4404,Lý thuyết điều khiển tự động nâng cao II,3(3-1-0-6),3,4,0.7,NULL
EE4405,Hệ thống điều khiển số,2(2-1-0.5-4),2,4,0.75,NULL
EE4406,Hệ thống điều khiển lập trình,3(3-1-0.5-6),3,5,0.75,NULL
EE4407,Thiết kế hệ thống điều khiển tự động,2(2-0-0-4),2,2,0.75,NULL
EE4408,Đồ án thiết kế hệ thống điều khiển tự động,1(1-1-0-4),1,2,1,NULL
EE4409,Tự động hoá quá trình công nghệ,3(3-1-0.5-6),3,5,0.75,NULL
EE4410,Thiết kế hệ điều khiển nhúng,2(2-1-0.3-4),2,3.5,0.7,NULL
EE4411,Hệ thống điều khiển phân tán,3(3-1-0.3-6),3,4.5,0.7,NULL
EE4412,Tự động hoá quá trình cơ điện,2(2-1-0-4),2,3,0.75,NULL
EE4413,Thiết bị điều chỉnh thuỷ khí,2(2-1-0.4-4),2,3.5,0.7,NULL
EE4414,Điều khiển chuyển động,2(2-0-0-4),2,2,0.75,NULL
EE4415,Hệ thống thông minh,3(3-1-0.5-6),3,5,0.75,NULL
EE4416,Hệ sự kiện rời rạc,3(3-1-0-6),3,4,0.7,NULL
EE4417,Tự động hoá quá trình công nghệ,2(2-1-0.4-4),2,3.5,0.75,NULL
EE4418,Tiếng Anh chuyên ngành,2(2-0-0-4),2,2,1,NULL
EE4419,Đề tài nghiên cứu KH,2(0-0-4-8),2,6,0.5,NULL
EE4420,Điều khiển mờ và mạng nơron,3(3-0-0-6),3,3,0.7,NULL
EE4421,Trang bị điện-điện tử các máy công nghiệp,2(2-1-0-4),2,3,0.7,NULL
EE4422,Vi điều khiển và ứng dụng,3(2-1-1-6),3,4.5,0.75,NULL
EE4423,Thiết bị khí nén và thủy lực trong tự động hóa,3(3-1-0-6),3,4,0.75,NULL
EE44262E,Nhà máy điện gió và mặt trời,2(2-1-0-4),2,3,0.7,NULL
EE4430,Mô hình hóa và mô phỏng hệ thống điều khiển,2(2-1-0-4),2,3,0.5,NULL
EE4430E,Mô hình hóa và mô phỏng hệ thống điều khiển,3(3-0-0-6),3,3,0.5,NULL
EE4431,Cơ sở của hệ mờ và mạng nơ ron,2(2-1-0-4),2,3,0.5,NULL
EE4432,Thiết bị điều khiển công nghiệp,3(3-0-0.5-6),3,4,0.7,NULL
EE4433,Tối ưu hoá và điều khiển tối ưu,3(3-1-0-6),3,4,0.7,NULL
EE4434,Điều khiển thích nghi,2(2-1-0-4),2,3,0.7,NULL
EE4435,Hệ thống điều khiển số,3(3-0-1-6),3,4.5,0.5,NULL
EE4435E,Hệ thống điều khiển số,3(3-1-0-6),3,4,0.7,NULL
EE4436,Chuyên đề NCKH,2(0-2-1-6),2,3.5,0.7,NULL
EE4437,Đồ án thiết kế hệ ĐK nhúng,2(1-2-0-4),2,3,0.7,NULL
EE4438,Đồ án thiết kế hệ thống điều khiển tự động,2(0-0-4-4),2,4,0.7,NULL
EE4439,Điều khiển hệ điện cơ,4(4-0-1-8),4,5.5,0.7,NULL
EE4440,Thiết kế hệ thống điều khiển,3(3-0-0-6),3,3,0.7,NULL
EE4441,Hệ thống điều khiển phân tán,3(3-1-0-6),3,4,0.7,NULL
EE4442,Điều khiển hệ thống năng lượng tái tạo,2(2-0-0-4),2,2,0.7,NULL
EE4443,Hệ thống điều khiển lập trình,4(3-1-0.5-8),4,5,0.7,NULL
